Brand_name,TOn,Condenser_Coil,Power_Consumption,RefrigeranT,Noise_level,STAR,Ratings,Price,Image_url
Haier,1,Copper,704 W, R-32,26 dB,0.0,0,₹27294,https://rukminim1.flixcart.com/image/312/312/l1ch4sw0/air-conditioner-new/0/j/f/-original-imagcxh3d6ezzqhp.jpeg?q=70
Daikin,1.5,Alloy,1304 W, R-32,42 dB,4.2,0,₹38999,https://rukminim1.flixcart.com/image/312/312/l2krs7k0/air-conditioner-new/v/x/g/-original-imagdwym4y6wb4vu.jpeg?q=70
Croma,1.5,Copper,1570 W, R - 32,49 dB,3.8,75,₹28490,https://rukminim1.flixcart.com/image/312/312/l1pc3gw0/air-conditioner-new/y/e/h/-original-imagd7qhxffd2ksw.jpeg?q=70
Panasonic,1,Copper,1095 W, R-32,45 dB,4.3,10156,₹32999,https://rukminim1.flixcart.com/image/312/312/l0sgyvk0/air-conditioner-new/4/8/i/-original-imagchbyyxgnsztk.jpeg?q=70
MarQ,By,Copper,712.59 kWh, R-32,40 dB,4.0,642,₹27490,https://rukminim1.flixcart.com/image/312/312/kzfvzww0/air-conditioner-new/j/p/s/-original-imagbgbzyx7vkpvj.jpeg?q=70
Panasonic,1.5,Copper,840.75 kWh, R-32,46 dB,4.3,10156,₹42990,https://rukminim1.flixcart.com/image/312/312/l0r1j0w0/air-conditioner-new/n/i/w/-original-imagcgg5ktjp2p3j.jpeg?q=70
Panasonic,1.5,Copper,1056.45 W, R-32,48 db,4.2,1125,₹35990,https://rukminim1.flixcart.com/image/312/312/kltryq80/air-conditioner-new/l/l/y/cs-ru18xkytw-cu-ru18xkytw-split-panasonic-inverter-original-imagyugnrnv2djmk.jpeg?q=70
Blue,Star,Copper,704.42 kWh,d: No,39 dB,0.0,0,₹32490,https://rukminim1.flixcart.com/image/312/312/l1tmf0w0/air-conditioner-new/p/a/b/-original-imagdaxefv3jtghq.jpeg?q=70
Voltas,1.5,Copper,1649 W,d: No,R-22,4.3,2499,₹28990,https://rukminim1.flixcart.com/image/312/312/jelpg280/air-conditioner-new/g/y/e/183czp-1-5-window-voltas-original-imaf39axfkmh9avk.jpeg?q=70
SAMSUNG,1,Copper,920 W, R - 32,42 dB,4.3,227,₹30990,https://rukminim1.flixcart.com/image/312/312/ky1vl3k0/air-conditioner-new/t/h/q/-original-imagad5yffnyfyvh.jpeg?q=70
Panasonic,1,Copper,990 W, R-32,45 dB,4.3,10156,₹36490,https://rukminim1.flixcart.com/image/312/312/l0sgyvk0/air-conditioner-new/4/8/i/-original-imagchbyyxgnsztk.jpeg?q=70
LG,1.5,Copper,1106.26 kWh, R - 32,44 dB,4.0,0,₹36499,https://rukminim1.flixcart.com/image/312/312/l1fc0i80/air-conditioner-new/z/j/m/-original-imagczgshsskqzqy.jpeg?q=70
Voltas,1,Copper,1155 W, R32,46 dB,4.1,0,₹34990,https://rukminim1.flixcart.com/image/312/312/l2krs7k0/air-conditioner-new/v/i/s/-original-imagdvx8q3m8erbj.jpeg?q=70
CARRIER,Flexicool,Copper,974.21 kWh, R32,37 dB,4.3,9692,₹39400,https://rukminim1.flixcart.com/image/312/312/l01blow0/air-conditioner-new/g/w/z/-original-imagbwxsvzh3phfu.jpeg?q=70
Panasonic,1.5,Copper,1770 W, R-32,48 dB,4.3,10156,₹36990,https://rukminim1.flixcart.com/image/312/312/l0r1j0w0/air-conditioner-new/n/i/w/-original-imagcgg5ktjp2p3j.jpeg?q=70
Blue,Star,Copper,932 W,d: No,37 dB,4.0,0,₹43990,https://rukminim1.flixcart.com/image/312/312/k98tdow0/air-conditioner-new/a/6/d/ih418safu-1-5-split-inverter-blue-star-original-imafr3f8ep9nyxwz.jpeg?q=70
 4-in-1 Convertible 1 Ton 4 Star Split Inverter ,-,Copper,642.93 kWh, R-32,40 dB,4.0,1449,₹28790,https://rukminim1.flixcart.com/image/312/312/l1pc3gw0/air-conditioner-new/7/u/r/-original-imagd7zw3xxwqpt6.jpeg?q=70
Panasonic,1.5,Copper,840.75 kWh, R-32,46 dB,4.3,10156,₹42990,https://rukminim1.flixcart.com/image/312/312/l0r1j0w0/air-conditioner-new/n/i/w/-original-imagcgg5ktjp2p3j.jpeg?q=70
Croma,1.5,Copper,1570 W, R - 32,49 dB,3.8,75,₹28490,https://rukminim1.flixcart.com/image/312/312/l1pc3gw0/air-conditioner-new/y/e/h/-original-imagd7qhxffd2ksw.jpeg?q=70
Croma,1,Copper,1070 W, R - 32,44 dB,4.0,0,0,https://rukminim1.flixcart.com/image/312/312/l1pc3gw0/air-conditioner-new/6/5/h/-original-imagd7qhswkpenpg.jpeg?q=70
Voltas,1.5,Copper,987.43, R - 32,46 dB,4.2,845,₹36999,https://rukminim1.flixcart.com/image/312/312/l1b1oy80/air-conditioner-new/r/c/l/-original-imagcwjcyhx65kbe.jpeg?q=70
MOTOROLA,2,Copper,1356.23 W, R32,38 dB,4.4,588,₹39990,https://rukminim1.flixcart.com/image/312/312/ku79vgw0/air-conditioner-new/z/u/8/moto203siasmt-split-motorola-dual-inverter-original-imag7dyjfzvuuzzh.jpeg?q=70
Lloyd,1.5,Copper,1002.76 kWh, R-32,35 dB,4.0,602,₹35499,https://rukminim1.flixcart.com/image/312/312/l30hmkw0/air-conditioner-new/p/i/j/-original-image87vgqsmrjss.jpeg?q=70
SAMSUNG,1.5,Copper,1490 W, R-32,45 dB,4.2,24780,₹36499,https://rukminim1.flixcart.com/image/312/312/ky3b0y80/air-conditioner-new/j/h/w/-original-imagae8qqrkkm9zv.jpeg?q=70
Whirlpool,1.5,Copper,1660 W, R32,43 dB,4.2,28442,₹31990,https://rukminim1.flixcart.com/image/312/312/kksmikw0/air-conditioner-new/0/m/e/1-5t-magicool-pro-5s-copr-inv-split-inverter-whirlpool-original-imagy25utwj6jgg7.jpeg?q=70
Voltas,1.5,Copper,1690 W, R32,46 dB,4.1,1856,₹34999,https://rukminim1.flixcart.com/image/312/312/l0tweq80/air-conditioner-new/q/i/f/-original-imagcj2spjwh5jyt.jpeg?q=70
LG,1.5,Copper,962.65 kWh, R32,26 dB,2.2,0,₹36490,https://rukminim1.flixcart.com/image/312/312/l1nwnm80/air-conditioner-new/f/y/o/-original-imagd5u4nh3trzph.jpeg?q=70
Panasonic,1,Copper,990 W, R-32,45 dB,4.3,10156,₹36490,https://rukminim1.flixcart.com/image/312/312/l0sgyvk0/air-conditioner-new/4/8/i/-original-imagchbyyxgnsztk.jpeg?q=70
Hitachi,1.5,Copper,1575 W,d: No,50 dB,4.2,2102,₹33999,https://rukminim1.flixcart.com/image/312/312/kd4uj680/air-conditioner-new/g/4/e/raw518kudz1-mps-1-5-window-hitachi-fixed-speed-original-imafu44dgw6evddz.jpeg?q=70
Thomson,1,Copper,944 W, R - 32,48 dB,4.4,211,₹24490,https://rukminim1.flixcart.com/image/312/312/l111lzk0/air-conditioner-new/5/8/4/-original-imagczp464ravmvv.jpeg?q=70
Voltas,0.8,Copper,2500 W,d: No,56 dB,4.2,79,₹26590,https://rukminim1.flixcart.com/image/312/312/jwtkk280/air-conditioner-new/r/b/y/103-dzs-0-8-window-inverter-voltas-original-imafheunzhvrzmgy.jpeg?q=70
