TimeStamp,YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_PAR_TOT,T2M,RH2M,WD10M,WS10M,PS,PRECTOTCORR
2021-01-01 00:00:00+00:00,2021,1,1,0,0,0,13.02,87.88,252.31,4.71,99.45,0
2021-01-01 01:00:00+00:00,2021,1,1,1,0,0,12.85,88.5,254.07,4.25,99.43,0
2021-01-01 02:00:00+00:00,2021,1,1,2,0,0,12.65,89.5,252.45,3.36,99.46,0
2021-01-01 03:00:00+00:00,2021,1,1,3,0,0,12.3,91.81,248.93,2.58,99.56,0
2021-01-01 04:00:00+00:00,2021,1,1,4,0,0,11.87,94.75,242.19,2,99.68,0
2021-01-01 05:00:00+00:00,2021,1,1,5,122.93,52.83,12.73,89.75,229.74,1.73,99.81,0
2021-01-01 06:00:00+00:00,2021,1,1,6,321.66,142.77,14.17,82.38,228.19,1.49,99.91,0
2021-01-01 07:00:00+00:00,2021,1,1,7,543.79,244.58,16.4,69.44,243.02,1.28,99.97,0
2021-01-01 08:00:00+00:00,2021,1,1,8,738.5,335.17,18.6,59.56,270.64,1.24,100,0
2021-01-01 09:00:00+00:00,2021,1,1,9,912.26,414.92,20.34,53.25,296.6,1.71,100.01,0
2021-01-01 10:00:00+00:00,2021,1,1,10,986.12,453.17,21.53,49.5,302.73,2.42,100.01,0
2021-01-01 11:00:00+00:00,2021,1,1,11,1020.82,473.1,22.18,47.62,307.07,3.25,100,0
2021-01-01 12:00:00+00:00,2021,1,1,12,1021.23,470.23,21.95,48.75,308.31,4.2,99.99,0
2021-01-01 13:00:00+00:00,2021,1,1,13,1000.75,456.85,21.28,51.25,305.06,4.94,99.97,0
2021-01-01 14:00:00+00:00,2021,1,1,14,848.33,384,20.48,53.94,299.45,5.5,99.94,0
2021-01-01 15:00:00+00:00,2021,1,1,15,692.73,312.25,19.69,56.5,292.54,6.03,99.91,0
2021-01-01 16:00:00+00:00,2021,1,1,16,494.48,220.77,19.01,58.56,285.46,6.57,99.9,0
2021-01-01 17:00:00+00:00,2021,1,1,17,279.34,121.88,17.98,62.44,279.38,7.09,99.92,0
2021-01-01 18:00:00+00:00,2021,1,1,18,76.02,31.02,16.32,69.88,273.49,7.56,99.93,0
2021-01-01 19:00:00+00:00,2021,1,1,19,0,0,14.62,78.94,267.63,7.54,99.93,0
2021-01-01 20:00:00+00:00,2021,1,1,20,0,0,13.68,84.81,265.04,7.06,99.91,0
2021-01-01 21:00:00+00:00,2021,1,1,21,0,0,13.28,87.5,263.48,6.47,99.87,0
2021-01-01 22:00:00+00:00,2021,1,1,22,0,0,13.11,88.81,260.41,5.73,99.82,0
2021-01-01 23:00:00+00:00,2021,1,1,23,0,0,13,89.5,258.06,5.35,99.74,0
2021-01-02 00:00:00+00:00,2021,1,2,0,0,0,12.92,89.81,258.65,5.28,99.65,0
2021-01-02 01:00:00+00:00,2021,1,2,1,0,0,12.8,90.38,262.15,5.07,99.57,0
2021-01-02 02:00:00+00:00,2021,1,2,2,0,0,12.68,91.06,262.19,4.21,99.57,0
2021-01-02 03:00:00+00:00,2021,1,2,3,0,0,12.55,91.75,255.32,3.22,99.66,0
2021-01-02 04:00:00+00:00,2021,1,2,4,0,0,12.29,93.56,269.86,2.96,99.71,0
2021-01-02 05:00:00+00:00,2021,1,2,5,70.52,31.85,12.84,91.12,278.46,3.2,99.76,0
2021-01-02 06:00:00+00:00,2021,1,2,6,211.27,95.38,14.32,82.44,272.01,1.59,99.87,0.01
2021-01-02 07:00:00+00:00,2021,1,2,7,370.57,170.27,15.76,74.81,316.32,1.82,99.86,0.01
2021-01-02 08:00:00+00:00,2021,1,2,8,520.84,242.42,16.88,69.88,336.94,2.36,99.95,0
2021-01-02 09:00:00+00:00,2021,1,2,9,647.68,302.3,17.37,68.56,331.98,3.69,99.99,0
2021-01-02 10:00:00+00:00,2021,1,2,10,699.73,323.42,17.33,69.31,326.13,4.68,100.03,0
2021-01-02 11:00:00+00:00,2021,1,2,11,741.9,352.75,17.23,69.56,316.78,5.28,100.09,0
2021-01-02 12:00:00+00:00,2021,1,2,12,792.55,373.7,16.96,70,309.09,5.78,100.13,0
2021-01-02 13:00:00+00:00,2021,1,2,13,858.7,397.85,16.51,70.69,300.06,5.75,100.12,0
2021-01-02 14:00:00+00:00,2021,1,2,14,758.55,346.05,16.3,70.31,289.7,5.79,100.1,0
