Re,Rugosidad,f
1E+02,0.00000,0.169408
1.15E+02,0.00000,0.157557
1.32E+02,0.00000,0.146815
1.52E+02,0.00000,0.137054
1.75E+02,0.00000,0.128166
2.01E+02,0.00000,0.120055
2.31E+02,0.00000,0.112637
2.66E+02,0.00000,0.105840
3.05E+02,0.00000,0.099601
3.51E+02,0.00000,0.093861
4.04E+02,0.00000,0.088573
4.64E+02,0.00000,0.083692
5.34E+02,0.00000,0.079179
6.14E+02,0.00000,0.075000
7.05E+02,0.00000,0.071125
8.11E+02,0.00000,0.067525
9.33E+02,0.00000,0.064176
1.07E+03,0.00000,0.061057
1.23E+03,0.00000,0.058148
1.42E+03,0.00000,0.055430
1.63E+03,0.00000,0.052889
1.87E+03,0.00000,0.050510
2.15E+03,0.00000,0.048280
2.48E+03,0.00000,0.046187
2.85E+03,0.00000,0.044221
3.27E+03,0.00000,0.042372
3.76E+03,0.00000,0.040631
4.33E+03,0.00000,0.038990
4.98E+03,0.00000,0.037442
5.72E+03,0.00000,0.035981
6.58E+03,0.00000,0.034599
7.56E+03,0.00000,0.033293
8.7E+03,0.00000,0.032055
1E+04,0.00000,0.030883
1.15E+04,0.00000,0.029771
1.32E+04,0.00000,0.028716
1.52E+04,0.00000,0.027713
1.75E+04,0.00000,0.026760
2.01E+04,0.00000,0.025854
2.31E+04,0.00000,0.024991
2.66E+04,0.00000,0.024169
3.05E+04,0.00000,0.023385
3.51E+04,0.00000,0.022637
4.04E+04,0.00000,0.021924
4.64E+04,0.00000,0.021242
5.34E+04,0.00000,0.020591
6.14E+04,0.00000,0.019968
7.05E+04,0.00000,0.019372
8.11E+04,0.00000,0.018801
9.33E+04,0.00000,0.018255
1.07E+05,0.00000,0.017731
1.23E+05,0.00000,0.017228
1.42E+05,0.00000,0.016746
1.63E+05,0.00000,0.016283
1.87E+05,0.00000,0.015839
2.15E+05,0.00000,0.015412
2.48E+05,0.00000,0.015001
2.85E+05,0.00000,0.014606
3.27E+05,0.00000,0.014226
3.76E+05,0.00000,0.013861
4.33E+05,0.00000,0.013508
4.98E+05,0.00000,0.013169
5.72E+05,0.00000,0.012842
6.58E+05,0.00000,0.012526
7.56E+05,0.00000,0.012222
8.7E+05,0.00000,0.011929
1E+06,0.00000,0.011645
1.15E+06,0.00000,0.011371
1.32E+06,0.00000,0.011107
1.52E+06,0.00000,0.010851
1.75E+06,0.00000,0.010604
2.01E+06,0.00000,0.010365
2.31E+06,0.00000,0.010134
2.66E+06,0.00000,0.009910
3.05E+06,0.00000,0.009694
3.51E+06,0.00000,0.009484
4.04E+06,0.00000,0.009281
4.64E+06,0.00000,0.009084
5.34E+06,0.00000,0.008893
6.14E+06,0.00000,0.020000
7.05E+06,0.00000,0.020000
8.11E+06,0.00000,0.020000
9.33E+06,0.00000,0.020000
1.07E+07,0.00000,0.020000
1.23E+07,0.00000,0.020000
1.42E+07,0.00000,0.020000
1.63E+07,0.00000,0.020000
1.87E+07,0.00000,0.020000
2.15E+07,0.00000,0.020000
2.48E+07,0.00000,0.020000
2.85E+07,0.00000,0.020000
3.27E+07,0.00000,0.020000
3.76E+07,0.00000,0.020000
4.33E+07,0.00000,0.020000
4.98E+07,0.00000,0.020000
5.72E+07,0.00000,0.020000
6.58E+07,0.00000,0.020000
7.56E+07,0.00000,0.020000
8.7E+07,0.00000,0.020000
1E+08,0.00000,0.020000
1E+02,0.00001,0.169412
